Name;Date;O;H;L;C;V
06MAGNA;2017-10-02;0.26;0.27;0.26;0.27;1895
08OCTAVA;2017-10-02;1.01;1.01;1.01;1.01;2248
11BIT;2017-10-02;195.00;196.00;190.15;193.35;1736
4FUNMEDIA;2017-10-02;8.70;8.88;8.60;8.80;1316
AATHOLD;2017-10-02;20.28;20.28;19.61;19.61;1312
ABADONRE;2017-10-02;0.00;0.00;0.00;6.00;0
ABCDATA;2017-10-02;1.84;1.86;1.82;1.85;173218
ABMSOLID;2017-10-02;11.94;11.94;11.90;11.90;10
ABPL;2017-10-02;27.25;27.30;27.24;27.30;377
ACAUTOGAZ;2017-10-02;42.00;42.39;41.24;41.24;64
ACTION;2017-10-02;4.16;4.32;4.05;4.10;75258
ADIUVO;2017-10-02;18.05;18.05;18.00;18.00;489
AGORA;2017-10-02;17.10;17.10;16.75;16.90;3668
AGROTON;2017-10-02;4.42;4.42;4.15;4.33;7784
AGROWILL;2017-10-02;0.00;0.00;0.00;1.88;0
AILLERON;2017-10-02;17.83;18.59;17.75;18.00;20406
AIRWAY;2017-10-02;0.98;1.01;0.98;1.00;8030
ALCHEMIA;2017-10-02;5.00;5.01;4.93;5.01;25272
ALIOR;2017-10-02;68.50;68.90;68.22;68.81;209833
ALMA;2017-10-02;0.73;0.74;0.73;0.74;8518
ALTA;2017-10-02;3.35;3.35;3.35;3.35;1
ALTUSTFI;2017-10-02;15.87;16.16;15.87;16.10;2193
ALUMETAL;2017-10-02;50.60;51.00;50.50;50.96;4894
AMBRA;2017-10-02;10.90;11.14;10.87;11.10;2450
AMICA;2017-10-02;154.40;161.75;154.00;159.00;2933
AMPLI;2017-10-02;0.00;0.00;0.00;0.22;0
AMREST;2017-10-02;363.00;370.55;363.00;366.00;75740
APATOR;2017-10-02;31.00;31.00;30.55;30.99;4495
APLISENS;2017-10-02;11.15;11.15;10.31;10.68;1021
APSENERGY;2017-10-02;3.75;3.75;3.75;3.75;1
ARCHICOM;2017-10-02;0.00;0.00;0.00;14.70;0
ARCTIC;2017-10-02;4.65;4.82;4.60;4.64;20292
ARCUS;2017-10-02;1.44;1.46;1.27;1.27;41991
ARTERIA;2017-10-02;8.24;8.30;8.24;8.30;607
ARTIFEX;2017-10-02;9.46;9.50;9.45;9.49;1327
ASBIS;2017-10-02;2.57;2.58;2.51;2.51;24860
ASMGROUP;2017-10-02;4.20;4.20;4.20;4.20;728
ASSECOBS;2017-10-02;26.95;27.00;26.60;27.00;1165
ASSECOPOL;2017-10-02;46.40;47.07;45.81;46.00;174476
ASSECOSEE;2017-10-02;11.97;11.97;11.80;11.80;6822
ASTARTA;2017-10-02;53.30;53.30;52.40;53.00;56387
ATAL;2017-10-02;43.00;43.40;43.00;43.35;2518
ATENDE;2017-10-02;4.90;4.90;4.85;4.85;210
ATLANTAPL;2017-10-02;4.50;4.50;4.50;4.50;350
ATLANTIS;2017-10-02;0.67;0.68;0.65;0.65;21058
ATLASEST;2017-10-02;0.00;0.00;0.00;1.00;0
ATM;2017-10-02;11.34;11.34;11.34;11.34;51
ATMGRUPA;2017-10-02;4.12;4.12;4.02;4.12;2102
ATREM;2017-10-02;2.99;2.99;2.89;2.97;4287
